BM Units Registered with Central Registration Agency 
 
BM Unit ID,BMU Name,Party Name,Party ID,BMU Type,NGC BMU Name,GSP Group Id,GSP Group Name,Trading Unit Name,Prod/Cons Flag,Prod/Cons Status,TLF,GC,DC,WDCALF,NWDCALF,SECALF,WDBMCAIC,NWDBMCAIC,WDBMCAEC,NWDBMCAEC,Exempt Export Flag,Base TU Flag,FPN Flag,Interconnector Id,Effective From, Manual Credit Qualifying Flag, Credit Qualifying Status
2__AALAB000,"ALAB_A","Square1 Energy Limited",ALAB,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AALAS000,"ALAS_A","Clean Energy Supply Ltd",ALAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AALTI000,"2__AALTI000","Co-operative Energy Limited",VOLA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-4.38,.4819,.4567,.24,-2.111,-2,0,0,F,T,F,,01/06/22,F,F
2__AANGE000,"2__AANGE000","Limejump Energy Limited",ANGEL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,139.329,-20.52,.2158,.1944,.24,-4.428,-3.989,30.067,27.086,F,T,F,,01/06/22,F,F
2__AANGE001,"2__AANGE001","Limejump Energy Limited",ANGEL,S,"AG-ALIM02",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,80,-1,.4819,.4567,.24,-.482,-.457,38.552,36.536,F,T,T,,01/06/22,F,F
2__AANGE002,"2__AANGE002","Limejump Energy Limited",ANGEL,S,"AG-ALIM03",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,50,0,.4819,.4567,.24,0,0,12,12,F,T,T,,01/06/22,F,F
2__AANGE003,"2__AANGE003","Limejump Energy Limited",ANGEL,S,"AG-ALIM04",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,T,,01/06/22,F,F
2__AANGE004,"2__AANGE004","Limejump Energy Limited",ANGEL,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AARIZ000,"ARIZ_A","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-12.74,.4819,.4567,.24,-6.139,-5.818,0,0,F,T,F,,01/06/22,F,F
2__AARRU000,"2__AARRU000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-1.34,.5501,.5743,.24,-.737,-.77,0,0,F,T,F,,01/06/22,F,F
2__AAVRO000,"AVRO_A","Octopus Energy Limited",MERCURY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-2.498,.4616,.4851,.24,-1.153,-1.212,0,0,F,T,F,,01/06/22,F,F
2__AAXPO000,"2__AAXPO000","AXPO UK LIMITED",EGLUK,G,"EAS-AXPO1",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,107.06,-5,.5726,.6345,.24,-2.863,-3.173,61.303,67.93,F,T,F,,01/06/22,F,F
2__AAZAC000,"2__AAZAC000","Bristol Energy Limited",AZACCA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABARB000,"2__ABARB000","Barbican Power Limited",BARBICAN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABCFC000,"2__ABCFC000","Octopus Energy Limited",MERCURY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABELS000,"2__ABELS000","Belsize Energy Limited",BELSIZE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABETH000,"2__ABETH000","Mongoose Energy Supply Limited",BETHNAL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABGAS000,"2__ABGAS000","British Gas Trading Ltd",BRITGAS,G,"EAS-BGS01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-396,.5579,.5806,.24,-220.928,-229.918,0,0,F,T,T,,01/06/22,F,F
2__ABIZZ000,"2__ABIZZ000","British Gas Trading Ltd",BRITGAS,G,"EAS-BIZ01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-54,.5691,.4551,.24,-30.731,-24.575,0,0,F,T,T,,01/06/22,F,F
2__ABLBL000,"2__ABLBL000","Bluebell Energy Supply Ltd",BLUEBELL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABNRG000,"2__ABNRG000","Electricity Plus Supply Ltd",BAENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-56,.5818,.5995,.24,-32.581,-33.572,0,0,F,T,F,,01/06/22,F,F
2__ABORE000,"2__ABORE000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-1.46,.5904,.6139,.24,-.862,-.896,0,0,F,T,F,,01/06/22,F,F
2__ABORO000,"2__ABORO000","Borough Energy Limited",BOROUGH,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABOWF000,"2__ABOWF000","Bowfell Energy Limited",BOWFELL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABPGL000,"BPGL_A","Business Power & Gas Limited",CYCLONE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABPGM000,"2__ABPGM000","BP Gas Marketing Limited",BPGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABREZ000,"2__ABREZ000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-1.84,.4819,.4567,.24,-.887,-.84,0,0,F,T,F,,01/06/22,F,F
2__ABRKG000,"2__ABRKG000","BROOK GREEN TRADING LIMITED",MISTRAL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABRZE000,"2__ABRZE000","arto.energy Ltd",BRONZE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ABULN000,"2__ABULN000","Bryt Energy Limited",BULLION,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-40.525,.7747,.5748,.24,-31.395,-23.294,0,0,F,T,F,,01/06/22,F,F
2__ACALA000,"CALA_A","California Energy Limited",CALA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACALL000,"2__ACALL000","SP Energy Retail Ltd",SPSUP01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACAST000,"2__ACAST000","Castula Energy Supply Ltd",CASTULA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACBRA000,"2__ACBRA000","Smart Pay Energy Ltd",CABRA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACFWR000,"2__ACFWR000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACILI000,"2__ACILI000","Cilleni Energy Supply Limited",CILLENI,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.3667,.4,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACIRC000,"2__ACIRC000","Flow Energy Ltd",CIRCUIT,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACIRC001,"FLOWHH_A1","Flow Energy Ltd",CIRCUIT,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACMRO000,"2__ACMRO000","BGI Trading Limited",CAMARO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,7.078,0,.4819,.4567,.24,0,0,1.699,1.699,F,T,F,,01/06/22,F,F
2__ACNDL000,"2__ACNDL000","NEAS Energy Ltd.",CNDA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,2560,0,.2166,.2025,.2125,0,0,544,544,F,T,F,,01/06/22,F,F
2__ACNDL001,"Peterborough DG","NEAS Energy Ltd.",CNDA,S,"PETDG-1",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,98,0,.17,.1473,.1633,0,0,16.003,16.003,F,T,T,,01/06/22,F,F
2__ACNRD000,"2__ACNRD000","Conrad Energy (Trading) Ltd",CONRAD,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,72.174,-1.475,.145,.0626,.1362,-.214,-.092,10.465,4.518,F,T,F,,01/06/22,F,F
2__ACNRG000,"2__ACNRG000","Opus Energy (Corporate) Ltd",CHENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-22.1,.6805,.574,.24,-15.039,-12.685,0,0,F,T,F,,01/06/22,F,F
2__ACOLG000,"2__ACOLG000","D-Energi Trading Ltd",COLGANO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-.379,.5852,.5407,.24,-.222,-.205,0,0,F,T,F,,01/06/22,F,F
2__ACOLO000,"COLO_A","Shell Energy Retail Limited",FRST01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.5865,.6084,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACOMT000,"2__ACOMT000","E.ON Next Energy Ltd",NITTWO01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.5406,.5607,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACONI000,"2__ACONI000","Coniston Energy Limited",CONISTON,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACOOP000,"2__ACOOP000","I Supply Energy Limited",COOP,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-.32,0,0,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACORE000,"2__ACORE000","Corona Energy Retail 4 Limited",SUPELEC3,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACOUL000,"2__ACOUL000","Coulomb Energy Supply Limited",COULOMB,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACOUL001,"2__ACOUL001","Coulomb Energy Supply Limited",COULOMB,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACOVE000,"2__ACOVE000","EDF Energy Customers Ltd",LENCO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACPPR000,"2__ACPPR000","Affect Energy Ltd",COPPER,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACRWN000,"2__ACRWN000","Crown Gas and Power 2 Limited",CROWNGP2,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ACYCL000,"2__ACYCL000","Business Power & Gas Limited",CYCLONE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-14.284,.6295,.5653,.24,-8.992,-8.075,0,0,F,T,F,,01/06/22,F,F
2__ADARE000,"2__ADARE000","Dare Power Ltd",DARE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ADESL000,"2__ADESL000","SP Energy Retail Ltd",SPSUP01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.6,.7,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ADFDL000,"2__ADFDL000","Tru Energy Limited",DAFFODIL,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-.54,.4931,.4977,.24,-.266,-.269,0,0,F,T,F,,01/06/22,F,F
2__ADIRA000,"2__ADIRA000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,.505,-1.06,.2718,.3096,.24,-.288,-.328,.137,.156,F,T,F,,01/06/22,F,F
2__ADNEB000,"2__ADNEB000","Deneba Energy Supply Ltd",DENEBA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ADRAC000,"2__ADRAC000","Dracus Energy Supply Ltd",DRACUS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ADRGI000,"UKHC_A","UK Healthcare Corporation Ltd",DENERGI1,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__ADUAL000,"2__ADUAL000","SMARTESTENERGY BUSINESS LTD",DUALENER,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-17.174,.5489,.4268,.24,-9.427,-7.33,0,0,F,T,F,,01/06/22,F,F
2__AEBES000,"2__AEBES000","BES Commercial Electricity Ltd",EBEA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-8.15,.5861,.4593,.24,-4.777,-3.743,0,0,F,T,F,,01/06/22,F,F
2__AECOA000,"2__AECOA000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,56,0,.4819,.4567,.24,0,0,13.44,13.44,F,T,F,,01/06/22,F,F
2__AECON000,"2__AECON000","E.ON Energy Solutions Limited",PGENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AECOT000,"2__AECOT000","The Renewable Energy Co Ltd",RENC,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-20.24,.613,.4961,.24,-12.407,-10.041,0,0,F,T,F,,01/06/22,F,F
2__AECOT002,"2__AECOT002","The Renewable Energy Co Ltd",RENC,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,20.263,0,.2282,.2025,.2207,0,0,4.472,4.472,F,T,F,,01/06/22,F,F
2__AECOT003,"ECOT_VPP_10","The Renewable Energy Co Ltd",RENC,S,"AG-AECO01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,12,0,.4819,.4567,.24,0,0,2.88,2.88,F,T,T,,01/06/22,F,F
2__AEDDI000,"2__AEDDI000","British Gas Trading Ltd",BRITGAS,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-22.8,.5661,.5897,.24,-12.907,-13.445,0,0,F,T,F,,01/06/22,F,F
2__AEDFE000,"EDFE_Eastern","EDF Energy Customers Ltd",LENCO,G,"EAS-EDF01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,T,,01/06/22,F,F
2__AEDGE000,"2__AEDGE000","Edgware Energy Limited",EDGWARE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,100.5,0,.1617,.1526,.1591,0,0,15.99,15.99,F,T,F,,01/06/22,F,F
2__AEDIR000,"2__AEDIR000","British Gas Trading Ltd",BRITGAS,G,"EAS-EDR01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,T,,01/06/22,F,F
2__AEELC000,"2__AEELC000","E.ON Energy Solutions Limited",PGENERGY,G,"EAS-EAS01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-10,.5549,.549,.24,-5.549,-5.49,0,0,F,T,T,,01/06/22,F,F
2__AEENG000,"2__AEENG000","E.ON Energy Solutions Limited",PGENERGY,G,"EAS-EST01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,T,,01/06/22,F,F
2__AEFLS000,"EFLS_A","Octopus Energy Limited",MERCURY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-.26,.4819,.4567,.24,-.125,-.119,0,0,F,T,F,,01/06/22,F,F
2__AEGDX000,"A_EGASELEC","E (GAS AND ELECTRICITY) LTD",LORM,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-11.18,.5636,.5882,.24,-6.301,-6.576,0,0,F,T,F,,01/06/22,F,F
2__AEGML000,"EGML_A","ECO GREEN MANAGEMENT LIMITED",YGP1,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-1.638,.5103,.387,.24,-.836,-.634,0,0,F,T,F,,01/06/22,F,F
2__AELEC000,"Electraphase_A","ELECTRAPHASE LIMITED",EPHASE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AEMEB000,"2__AEMEB000","E.ON Energy Solutions Limited",PGENERGY,G,"EAS-PGE01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-20,.6061,.575,.24,-12.122,-11.5,0,0,F,T,T,,01/06/22,F,F
2__AEMZO000,"2__AEMZO000","Flick Energy Ltd*",EMZO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AENDC000,"2__AENDC000","EPG Energy Limited",EPGNRG,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,6.5,-6.7,-.3358,-.3891,.24,2.25,2.607,-2.183,-2.529,F,T,F,,01/06/22,F,F
2__AENDC002,"2__AENDC002","EPG Energy Limited",EPGNRG,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,38.7,0,.0197,.0369,.0247,0,0,.956,.956,F,T,F,,01/06/22,F,F
2__AENEC000,"2__AENEC000","Eneco Energy Trade",ENECOUK,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-38.14,.6935,.5234,.24,-26.45,-19.962,0,0,F,T,F,,01/06/22,F,F
2__AENER000,"2__AENER000","SP Energy Retail Ltd",SPSUP01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.5231,.5506,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AENGQ000,"EnergyQ_A","Utilita Energy Limited",UTILITA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AENRD000,"2__AENRD000","British Gas Trading Ltd",BRITGAS,G,"EAS-ENR01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,132,-276,.6257,.4852,.24,-172.693,-133.915,82.592,64.046,F,T,T,,01/06/22,F,F
2__AENRD002,"2__AENRD002","British Gas Trading Ltd",BRITGAS,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,77.78,-1,.2386,.2199,.24,-.239,-.22,18.558,17.104,F,T,F,,01/06/22,F,F
2__AENRG000,"2__AENRG000","Opus Energy Renewables Limited",EVENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,100.1,0,.594,.6258,.6033,0,0,60.39,60.39,F,T,F,,01/06/22,F,F
2__AENRG002,"ENRGA2","Opus Energy Renewables Limited",EVENERGY,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,48.74,0,.205,.1926,.2014,0,0,9.816,9.816,F,T,F,,01/06/22,F,F
2__AENRG003,"ENRGA3","Opus Energy Renewables Limited",EVENERGY,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AEOND000,"2__AEOND000","E.ON Next Energy Ltd",NITTWO01,G,"EAS-EON01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-532,.5149,.5349,.24,-273.927,-284.567,0,0,F,T,T,,01/06/22,F,F
2__AEPHH000,"2__AEPHH000","E.ON Next Energy Ltd",NITTWO01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AEQUI000,"2__AEQUI000","Equinicity Ltd",EQUIN,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AESSL000,"2__AESSL000","Squeaky Clean Energy Limited",ESSL1015,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AEURO000,"2__AEURO000","Robin Hood Energy Limited",EUROPA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-7.78,.4819,.4567,.24,-3.749,-3.553,0,0,F,T,F,,01/06/22,F,F
2__AEUST000,"2__AEUST000","Euston Energy Limited",EUSTON,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-.456,.5516,.5794,.24,-.252,-.264,0,0,F,T,F,,01/06/22,F,F
2__AEVER000,"2__AEVER000","Utilita Energy Limited",UTILITA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AEXGL000,"Exelon_A","Constellation Generation LTD",EXGENLIM,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,26.9,-32,.4819,.4567,.24,-15.421,-14.614,12.963,12.285,F,T,F,,01/06/22,F,F
2__AFARA000,"2__AFARA000","URE Energy Limited",FARADAY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AFARR000,"2__AFARR000","Farringdon Energy Limited",FARRINGD,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.5079,.4184,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AFLEX000,"2__AFLEX000","Flexitricity Limited",FLEXTRCY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,52.58,-.4,.0212,.3221,.24,-.008,-.129,1.115,16.936,F,T,F,,01/06/22,F,F
2__AFLEX001,"2__AFLEX001","Flexitricity Limited",FLEXTRCY,S,"AG-AFLX01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,6,-1,.0694,.2779,.24,-.069,-.278,.416,1.667,F,T,T,,01/06/22,F,F
2__AFLEX002,"2__AFLEX002","Flexitricity Limited",FLEXTRCY,S,"AG-AFLX02",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,49,0,.4819,.4567,.24,0,0,11.76,11.76,F,T,T,,01/06/22,F,F
2__AFLEX003,"2__AFLEX003","Flexitricity Limited",FLEXTRCY,S,"AG-AFLX03",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,49,0,.4819,.4567,.24,0,0,11.76,11.76,F,T,T,,01/06/22,F,F
2__AFLEX004,"2__AFLEX004","Flexitricity Limited",FLEXTRCY,S,"AG-AFLX04",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,49,0,.0896,.091,.09,0,0,4.41,4.41,F,T,T,,01/06/22,F,F
2__AFLEX005,"2__AFLEX005","Flexitricity Limited",FLEXTRCY,S,"AG-AFLX05",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,49,0,.0852,.0835,.0847,0,0,4.15,4.15,F,T,T,,01/06/22,F,F
2__AFLOR000,"FLOR_A","Florida Energy Limited",FLOR,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AFNRG000,"2__AFNRG000","Farmoor Energy Limited",FRENERGY,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AFRST000,"2__AFRST000","Shell Energy Retail Limited",FRST01,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-129.6,.5661,.5883,.24,-73.367,-76.244,0,0,F,T,F,,01/06/22,F,F
2__AFSEN000,"2__AFSEN000","F & S Energy Ltd",FSE0001,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,18,-9.74,.0061,.0354,.24,-.059,-.345,.11,.637,F,T,F,,01/06/22,F,F
2__AFSEN001,"2__AFSEN001","F & S Energy Ltd",FSE0001,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,48,0,.4819,.4567,.24,0,0,11.52,11.52,F,T,F,,01/06/22,F,F
2__AFSEN005,"2__AFSENOK5","F & S Energy Ltd",FSE0001,S,"AFSE01",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,6.095,-7.626,.4819,.4567,.24,-3.675,-3.483,2.937,2.784,F,T,T,,01/06/22,F,F
2__AFSEN006,"2__AFSENOK6","F & S Energy Ltd",FSE0001,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AFSEN007,"2__AFSENOK7","F & S Energy Ltd",FSE0001,S,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AFXGL000,"2__AFXGL000","Foxglove Energy Supply Ltd",FOXGLOVE,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,-17.397,.5489,.5741,.24,-9.549,-9.988,0,0,F,T,F,,01/06/22,F,F
2__AGALE000,"2__AGALE000","PLANET 9 ENERGY LTD",GALENA,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
2__AGANY000,"2__AGANY000","EDF Energy Customers Ltd",LENCO,G,"",_A,"Eastern GSP Group","DEFAULT__A",,C,.002616,0,0,.4819,.4567,.24,0,0,0,0,F,T,F,,01/06/22,F,F
